Frame,Time,Node,Variable,Value
0,1426797739.954387,0,.hazard1,0
0,1426797739.954387,0,.x,2
0,1426797739.954387,0,.xt,7
0,1426797739.954387,0,.y,2
0,1426797739.954387,0,.yt,7
0,1426797739.954387,0,formation,0
0,1426797739.954387,0,GET_LAT,nan
0,1426797739.954387,0,GET_LNG,nan
0,1426797739.978681,4,.hazard1,0
0,1426797739.978681,4,.x,4
0,1426797739.978681,4,.xt,0
0,1426797739.978681,4,.y,0
0,1426797739.978681,4,.yt,0
0,1426797739.978681,4,formation,0
0,1426797739.978681,4,GET_LAT,nan
0,1426797739.978681,4,GET_LNG,nan
0,1426797740.127432,2,.hazard1,0
0,1426797740.127432,2,.x,0
0,1426797740.127432,2,.xt,0
0,1426797740.127432,2,.y,4
0,1426797740.127432,2,.yt,0
0,1426797740.127432,2,formation,0
0,1426797740.127432,2,GET_LAT,nan
0,1426797740.127432,2,GET_LNG,nan
0,1426797740.134251,1,.hazard1,0
0,1426797740.134251,1,.x,4
0,1426797740.134251,1,.xt,0
0,1426797740.134251,1,.y,4
0,1426797740.134251,1,.yt,0
0,1426797740.134251,1,formation,0
0,1426797740.134251,1,GET_LAT,nan
0,1426797740.134251,1,GET_LNG,nan
1,1426797740.154425,0,.hazard1,0
1,1426797740.154425,0,.x,2
1,1426797740.154425,0,.xt,7
1,1426797740.154425,0,.y,2
1,1426797740.154425,0,.yt,7
1,1426797740.154425,0,formation,0
1,1426797740.154425,0,GET_LAT,nan
1,1426797740.154425,0,GET_LNG,nan
1,1426797740.178722,4,.hazard1,0
1,1426797740.178722,4,.x,4
1,1426797740.178722,4,.xt,0
1,1426797740.178722,4,.y,0
1,1426797740.178722,4,.yt,0
1,1426797740.178722,4,formation,0
1,1426797740.178722,4,GET_LAT,nan
1,1426797740.178722,4,GET_LNG,nan
1,1426797740.2169,3,.hazard1,0
1,1426797740.2169,3,.x,0
1,1426797740.2169,3,.xt,0
1,1426797740.2169,3,.y,0
1,1426797740.2169,3,.yt,0
1,1426797740.2169,3,formation,0
1,1426797740.2169,3,GET_LAT,nan
1,1426797740.2169,3,GET_LNG,nan
1,1426797740.327467,2,.hazard1,0
1,1426797740.327467,2,.x,0
1,1426797740.327467,2,.xt,0
1,1426797740.327467,2,.y,4
1,1426797740.327467,2,.yt,0
1,1426797740.327467,2,formation,0
1,1426797740.327467,2,GET_LAT,nan
1,1426797740.327467,2,GET_LNG,nan
1,1426797740.334296,1,.hazard1,0
1,1426797740.334296,1,.x,4
1,1426797740.334296,1,.xt,0
1,1426797740.334296,1,.y,4
1,1426797740.334296,1,.yt,0
1,1426797740.334296,1,formation,0
1,1426797740.334296,1,GET_LAT,nan
1,1426797740.334296,1,GET_LNG,nan
2,1426797740.354456,0,.hazard1,0
2,1426797740.354456,0,.x,2
2,1426797740.354456,0,.xt,7
2,1426797740.354456,0,.y,2
2,1426797740.354456,0,.yt,7
2,1426797740.354456,0,formation,0
2,1426797740.354456,0,GET_LAT,nan
2,1426797740.354456,0,GET_LNG,nan
2,1426797740.378734,4,.hazard1,0
2,1426797740.378734,4,.x,4
2,1426797740.378734,4,.xt,0
2,1426797740.378734,4,.y,0
2,1426797740.378734,4,.yt,0
2,1426797740.378734,4,formation,0
2,1426797740.378734,4,GET_LAT,nan
2,1426797740.378734,4,GET_LNG,nan
2,1426797740.416951,3,.hazard1,0
2,1426797740.416951,3,.x,0
2,1426797740.416951,3,.xt,0
2,1426797740.416951,3,.y,0
2,1426797740.416951,3,.yt,0
2,1426797740.416951,3,formation,0
2,1426797740.416951,3,GET_LAT,nan
2,1426797740.416951,3,GET_LNG,nan
2,1426797740.527469,2,.hazard1,0
2,1426797740.527469,2,.x,0
2,1426797740.527469,2,.xt,0
2,1426797740.527469,2,.y,4
2,1426797740.527469,2,.yt,0
2,1426797740.527469,2,formation,0
2,1426797740.527469,2,GET_LAT,nan
2,1426797740.527469,2,GET_LNG,nan
2,1426797740.534302,1,.hazard1,0
2,1426797740.534302,1,.x,4
2,1426797740.534302,1,.xt,0
2,1426797740.534302,1,.y,4
2,1426797740.534302,1,.yt,0
2,1426797740.534302,1,formation,0
2,1426797740.534302,1,GET_LAT,nan
2,1426797740.534302,1,GET_LNG,nan
2,1426797740.554431,0,.hazard1,0
