Frame,Time,Node,Variable,Value
0,1426858420.526336,2,.current_hazard,0
0,1426858420.526336,2,.x,0
0,1426858420.526336,2,.xt,0
0,1426858420.526336,2,.y,4
0,1426858420.526336,2,.yt,0
0,1426858420.526336,2,formation,0
0,1426858420.526336,2,GET_LAT,nan
0,1426858420.526336,2,GET_LNG,nan
0,1426858420.581148,3,.current_hazard,0
0,1426858420.581148,3,.x,0
0,1426858420.581148,3,.xt,0
0,1426858420.581148,3,.y,0
0,1426858420.581148,3,.yt,0
0,1426858420.581148,3,formation,0
0,1426858420.581148,3,GET_LAT,nan
0,1426858420.581148,3,GET_LNG,nan
0,1426858420.597486,4,.current_hazard,0
0,1426858420.597486,4,.x,4
0,1426858420.597486,4,.xt,0
0,1426858420.597486,4,.y,0
0,1426858420.597486,4,.yt,0
0,1426858420.597486,4,formation,0
0,1426858420.597486,4,GET_LAT,nan
0,1426858420.597486,4,GET_LNG,nan
0,1426858420.626431,1,.current_hazard,0
0,1426858420.626431,1,.x,4
0,1426858420.626431,1,.xt,0
0,1426858420.626431,1,.y,4
0,1426858420.626431,1,.yt,0
0,1426858420.626431,1,formation,0
0,1426858420.626431,1,GET_LAT,nan
0,1426858420.626431,1,GET_LNG,nan
1,1426858420.726377,2,.current_hazard,0
1,1426858420.726377,2,.x,0
1,1426858420.726377,2,.xt,0
1,1426858420.726377,2,.y,4
1,1426858420.726377,2,.yt,0
1,1426858420.726377,2,formation,0
1,1426858420.726377,2,GET_LAT,nan
1,1426858420.726377,2,GET_LNG,nan
1,1426858420.730193,0,.current_hazard,0
1,1426858420.730193,0,.x,2
1,1426858420.730193,0,.xt,7
1,1426858420.730193,0,.y,2
1,1426858420.730193,0,.yt,7
1,1426858420.730193,0,formation,0
1,1426858420.730193,0,GET_LAT,nan
1,1426858420.730193,0,GET_LNG,nan
1,1426858420.781194,3,.current_hazard,0
1,1426858420.781194,3,.x,0
1,1426858420.781194,3,.xt,0
1,1426858420.781194,3,.y,0
1,1426858420.781194,3,.yt,0
1,1426858420.781194,3,formation,0
1,1426858420.781194,3,GET_LAT,nan
1,1426858420.781194,3,GET_LNG,nan
1,1426858420.797498,4,.current_hazard,0
1,1426858420.797498,4,.x,4
1,1426858420.797498,4,.xt,0
1,1426858420.797498,4,.y,0
1,1426858420.797498,4,.yt,0
1,1426858420.797498,4,formation,0
1,1426858420.797498,4,GET_LAT,nan
1,1426858420.797498,4,GET_LNG,nan
1,1426858420.826484,1,.current_hazard,0
1,1426858420.826484,1,.x,4
1,1426858420.826484,1,.xt,0
1,1426858420.826484,1,.y,4
1,1426858420.826484,1,.yt,0
1,1426858420.826484,1,formation,0
1,1426858420.826484,1,GET_LAT,nan
1,1426858420.826484,1,GET_LNG,nan
2,1426858420.926379,2,.current_hazard,0
2,1426858420.926379,2,.x,0
2,1426858420.926379,2,.xt,0
2,1426858420.926379,2,.y,4
2,1426858420.926379,2,.yt,0
2,1426858420.926379,2,formation,0
2,1426858420.926379,2,GET_LAT,nan
2,1426858420.926379,2,GET_LNG,nan
2,1426858420.930246,0,.current_hazard,0
2,1426858420.930246,0,.x,2
2,1426858420.930246,0,.xt,7
2,1426858420.930246,0,.y,2
2,1426858420.930246,0,.yt,7
2,1426858420.930246,0,formation,0
2,1426858420.930246,0,GET_LAT,nan
2,1426858420.930246,0,GET_LNG,nan
2,1426858420.981188,3,.current_hazard,0
2,1426858420.981188,3,.x,0
2,1426858420.981188,3,.xt,0
2,1426858420.981188,3,.y,0
2,1426858420.981188,3,.yt,0
2,1426858420.981188,3,formation,0
2,1426858420.981188,3,GET_LAT,nan
2,1426858420.981188,3,GET_LNG,nan
2,1426858420.997526,4,.current_hazard,0
2,1426858420.997526,4,.x,4
2,1426858420.997526,4,.xt,0
2,1426858420.997526,4,.y,0
2,1426858420.997526,4,.yt,0
2,1426858420.997526,4,formation,0
2,1426858420.997526,4,GET_LAT,nan
2,1426858420.997526,4,GET_LNG,nan
2,1426858421.026461,1,.current_hazard,0
2,1426858421.026461,1,.x,4
2,1426858421.026461,1,.xt,0
2,1426858421.026461,1,.y,4
2,1426858421.026461,1,.yt,0
2,1426858421.026461,1,formation,0
2,1426858421.026461,1,GET_LAT,nan
2,1426858421.026461,1,GET_LNG,nan
3,1426858421.126381,2,.current_hazard,0
3,1426858421.126381,2,.x,0
3,1426858421.126381,2,.xt,0
3,1426858421.126381,2,.y,4
3,1426858421.126381,2,.yt,0
3,1426858421.126381,2,formation,0
3,1426858421.126381,2,GET_LAT,0
3,1426858421.126381,2,GET_LNG,0
3,1426858421.130246,0,.current_hazard,0
3,1426858421.130246,0,.x,2
3,1426858421.130246,0,.xt,7
3,1426858421.130246,0,.y,2
3,1426858421.130246,0,.yt,7
3,1426858421.130246,0,formation,0
3,1426858421.130246,0,GET_LAT,nan
3,1426858421.130246,0,GET_LNG,nan
3,1426858421.181192,3,.current_hazard,0
3,1426858421.181192,3,.x,0
3,1426858421.181192,3,.xt,0
3,1426858421.181192,3,.y,0
3,1426858421.181192,3,.yt,0
3,1426858421.181192,3,formation,0
3,1426858421.181192,3,GET_LAT,0
3,1426858421.181192,3,GET_LNG,0
3,1426858421.197534,4,.current_hazard,0
3,1426858421.197534,4,.x,4
3,1426858421.197534,4,.xt,0
3,1426858421.197534,4,.y,0
3,1426858421.197534,4,.yt,0
3,1426858421.197534,4,formation,0
3,1426858421.197534,4,GET_LAT,0
3,1426858421.197534,4,GET_LNG,0
3,1426858421.226485,1,.current_hazard,0
3,1426858421.226485,1,.x,4
3,1426858421.226485,1,.xt,0
3,1426858421.226485,1,.y,4
3,1426858421.226485,1,.yt,0
3,1426858421.226485,1,formation,0
3,1426858421.226485,1,GET_LAT,0
3,1426858421.226485,1,GET_LNG,0
3,1426858421.326379,2,.current_hazard,0
4,1426858421.326379,2,.x,0
4,1426858421.326379,2,.xt,0
4,1426858421.326379,2,.y,4
4,1426858421.326379,2,.yt,0
4,1426858421.326379,2,formation,0
4,1426858421.326379,2,GET_LAT,0
4,1426858421.326379,2,GET_LNG,0
4,1426858421.330245,0,.current_hazard,0
4,1426858421.330245,0,.x,2
4,1426858421.330245,0,.xt,7
4,1426858421.330245,0,.y,2
4,1426858421.330245,0,.yt,7
4,1426858421.330245,0,formation,0
4,1426858421.330245,0,GET_LAT,0
4,1426858421.330245,0,GET_LNG,0
4,1426858421.381171,3,.current_hazard,0
4,1426858421.381171,3,.x,0
4,1426858421.381171,3,.xt,0
4,1426858421.381171,3,.y,0
4,1426858421.381171,3,.yt,0
4,1426858421.381171,3,formation,0
4,1426858421.381171,3,GET_LAT,0
